idProduct,idCategory,avg,low,trend,avg1,avg7,avg30
620001,1611,0.17,0.02,0.19,0.25,0.18,0.16
620002,1611,0.09,0.02,0.07,0.16,0.09,0.09
620003,1611,0.1,0.04,0.24,0.25,0.2,0.3
620004,1611,0.06,0.02,0.02,0.13,0.04,0.08
620005,1611,0.06,0.02,0.04,0.08,0.04,0.07
620006,1611,0.14,0.02,0.3,0.1,0.11,0.2
620007,1611,0.18,0.02,0.13,0.25,0.17,0.17
620008,1611,0.04,0.02,0.05,0.02,0.03,0.09
620009,1611,0.04,0.02,0.07,0.03,0.07,0.07
620010,1611,0.29,0.02,0.26,0.25,0.28,0.23
620011,1611,0.05,0.02,0.07,0.05,0.05,0.09
620012,1611,0.06,0.02,0.07,0.02,0.05,0.08
620013,1611,0.05,0.02,0.07,0.13,0.06,0.08
620014,1611,0.03,0.02,0.02,0.02,0.02,0.05
620015,1611,0.16,0.02,0.12,0.05,0.14,0.14
620016,1611,0.17,0.02,0.16,0.26,0.2,0.29
620017,1611,0.11,0.02,0.11,0.12,0.13,0.13
620018,1611,0.05,0.02,0.05,0.05,0.06,0.07
620019,1611,0.07,0.02,0.06,0.06,0.1,0.07
620020,1611,0.02,0.02,0.07,0.02,0.11,0.09
620021,1611,0.1,0.02,0.06,0.1,0.08,0.11
620022,1611,0.61,0.08,0.36,1.5,0.64,0.95
620023,1611,0.09,0.02,0.16,0.49,0.14,0.16
620024,1611,0.08,0.02,0.06,0.05,0.1,0.06
620025,1611,1.88,0.99,1.79,1.75,1.82,2.13
620026,1611,16.18,13.0,17.47,16.0,17.22,17.43
620027,1611,0.09,0.02,0.06,0.1,0.07,0.07
620028,1611,0.04,0.02,0.04,0.02,0.04,0.06
620029,1611,0.03,0.02,0.02,0.02,0.02,0.05
620030,1611,0.89,0.02,0.36,0.4,0.55,0.51
620031,1611,0.07,0.02,0.08,0.12,0.07,0.07
620032,1611,0.03,0.02,0.04,0.02,0.03,0.09
620033,1611,0.04,0.02,0.03,0.02,0.04,0.07
620034,1611,0.07,0.02,0.04,0.04,0.07,0.06
620035,1611,0.09,0.02,0.21,0.25,0.12,0.14
620036,1611,0.06,0.02,0.13,0.05,0.14,0.13
620037,1611,0.18,0.02,0.21,0.13,0.17,0.26
620038,1611,0.06,0.02,0.03,0.02,0.04,0.06
620039,1611,0.05,0.02,0.05,0.04,0.07,0.06
620040,1611,0.1,0.02,0.02,0.15,0.1,0.14
620041,1611,0.06,0.02,0.09,0.08,0.06,0.09
620042,1611,1.66,0.1,0.49,0.29,1.26,1.01
620043,1611,0.04,0.02,0.08,0.05,0.04,0.1
620044,1611,0.04,0.02,0.05,0.05,0.05,0.07
620045,1611,0.72,0.6,1.36,0.65,1.03,1.27
620046,1611,8.0,9.5,9.75,8.0,9.98,10.01
620047,1611,0.06,0.02,0.09,0.12,0.07,0.07
620048,1611,0.03,0.02,0.03,0.05,0.04,0.06
620049,1611,0.08,0.02,0.04,0.08,0.07,0.08
620050,1611,0.18,0.02,0.28,0.29,0.23,0.32
620051,1611,0.07,0.02,0.07,0.02,0.06,0.07
620052,1611,0.03,0.02,0.04,0.05,0.03,0.05
620053,1611,0.07,0.02,0.05,0.13,0.04,0.07
620054,1611,0.06,0.02,0.05,0.05,0.06,0.06
620055,1611,0.05,0.02,0.07,0.02,0.06,0.07
620056,1611,0.03,0.02,0.04,0.05,0.03,0.05
620057,1611,0.08,0.02,0.17,0.25,0.11,0.16
620058,1611,0.04,0.02,0.02,0.05,0.06,0.11
620059,1611,0.02,0.02,0.1,0.02,0.13,0.06
620060,1611,0.06,0.02,0.04,0.08,0.06,0.08
620061,1611,0.05,0.02,0.05,0.08,0.04,0.05
620062,1611,0.86,0.2,0.9,0.5,0.79,1.13
620063,1611,12.24,9.9,13.63,10.5,13.42,11.88
620064,1611,0.08,0.02,0.09,0.05,0.12,0.12
620065,1611,0.04,0.02,0.09,0.02,0.05,0.08
620066,1611,0.63,0.3,0.64,0.5,0.61,0.96
620067,1611,0.04,0.02,0.06,0.02,0.11,0.08
620068,1611,0.03,0.02,0.06,0.02,0.03,0.05
620069,1611,0.15,0.02,0.13,0.13,0.12,0.13
620070,1611,0.22,0.02,0.12,0.25,0.19,0.11
620071,1611,0.05,0.02,0.07,0.02,0.17,0.12
620072,1611,0.07,0.02,0.05,0.11,0.07,0.07
620073,1611,0.06,0.02,0.04,0.02,0.06,0.08
620074,1611,0.07,0.02,0.06,0.13,0.05,0.06
620075,1611,0.08,0.02,0.12,0.05,0.14,0.14
620076,1611,0.05,0.02,0.07,0.02,0.07,0.06
620077,1611,0.41,0.02,0.29,0.45,0.33,0.22
620078,1611,0.09,0.02,0.04,0.02,0.05,0.07
620079,1611,0.07,0.02,0.11,0.12,0.08,0.09
620080,1611,0.03,0.02,0.05,0.05,0.06,0.09
620081,1611,0.08,0.02,0.04,0.02,0.07,0.09
620082,1611,0.2,0.02,0.25,0.05,0.25,0.16
620083,1611,0.03,0.02,0.03,0.05,0.04,0.05
620084,1611,1.04,0.2,1.14,0.39,1.17,0.91
620085,1611,0.85,0.05,0.72,1.49,0.77,0.76
620086,1611,5.25,5.59,5.88,5.0,5.63,6.1
620087,1611,2.11,1.9,2.23,2.0,2.22,2.2
620088,1611,27.93,24.9,24.37,20.0,27.1,26.49
620089,1611,2.27,0.99,1.68,1.5,1.52,2.74
620090,1611,8.58,7.5,8.95,8.8,9.17,10.73
620091,1611,1.33,0.08,1.08,0.98,1.25,0.94
620092,1611,2.0,1.0,3.57,2.0,3.39,2.47
620093,1611,2.67,1.0,2.39,6.0,2.81,2.79
620094,1611,,6.0,10.92,8.0,10.79,12.25
620095,1611,0.1,0.02,0.13,0.25,0.14,0.13
620096,1611,1.99,0.75,1.59,1.99,1.37,1.51
620097,1611,2.97,1.7,3.23,2.5,2.92,3.02
620098,1611,7.5,7.5,8.27,7.5,8.71,10.62
620099,1611,1.16,0.3,1.01,0.74,0.89,0.85
620100,1611,0.07,0.02,0.03,0.13,0.04,0.07
620101,1611,0.15,0.02,0.12,0.48,0.12,0.08
620102,1611,0.02,0.02,0.06,0.02,0.02,0.04
620103,1611,0.14,0.02,0.14,0.15,0.13,0.12
620104,1611,0.07,0.02,0.05,0.02,0.06,0.07
620105,1611,0.02,0.02,0.04,0.02,0.06,0.05
620106,1611,0.07,0.02,0.02,0.02,0.05,0.06
620107,1611,0.04,0.02,0.04,0.13,0.04,0.06
620108,1611,0.08,0.02,0.05,0.02,0.07,0.06
620109,1611,0.08,0.02,0.04,0.13,0.05,0.09
620110,1611,0.11,0.02,0.14,0.08,0.12,0.13
620111,1611,0.02,0.02,0.04,0.02,0.06,0.08
620112,1611,0.08,0.02,0.08,0.13,0.04,0.08
620113,1611,0.17,0.02,0.2,0.25,0.15,0.23
620114,1611,,2.55,4.57,4.0,4.1,3.85
620115,1611,0.1,0.02,0.12,0.05,0.16,0.16
620116,1611,0.06,0.02,0.05,0.02,0.06,0.08
620117,1611,0.06,0.02,0.07,0.02,0.07,0.06
620118,1611,4.51,3.99,3.28,3.56,4.47,5.43
620119,1611,19.08,15.0,16.86,18.26,16.1,18.43
620120,1611,3.79,0.9,3.33,5.0,3.35,3.61
620121,1611,5.0,4.0,6.65,5.73,6.35,7.09
620122,1611,0.09,0.02,0.07,0.19,0.09,0.07
620123,1611,0.42,0.09,0.35,0.2,0.18,0.34
620124,1611,0.02,0.02,0.06,0.02,0.1,0.07
620125,1611,0.03,0.02,0.13,0.15,0.07,0.15
620126,1611,0.07,0.02,0.09,0.19,0.08,0.09
620127,1611,0.14,0.02,0.16,0.05,0.11,0.21
620128,1611,0.07,0.02,0.05,0.03,0.03,0.05
620129,1611,2.33,2.0,2.01,1.5,1.78,2.45
620130,1611,9.9,9.69,12.85,9.9,13.62,15.61
620131,1611,0.6,0.02,0.48,0.25,0.55,0.42
620132,1611,0.09,0.02,0.14,0.15,0.11,0.21
620133,1611,0.05,0.02,0.07,0.02,0.05,0.09
620134,1611,0.03,0.02,0.05,0.02,0.04,0.06
620135,1611,0.11,0.02,0.13,0.11,0.15,0.17
620136,1611,0.09,0.02,0.1,0.13,0.08,0.13
620137,1611,0.46,0.02,0.24,0.78,0.28,0.2
620138,1611,0.43,0.4,1.24,0.5,1.35,0.91
620139,1611,0.06,0.02,0.06,0.02,0.04,0.06
620140,1611,2.37,1.39,2.57,2.6,2.23,2.59
620141,1611,0.12,0.02,0.12,0.19,0.1,0.09
620142,1611,0.05,0.02,0.1,0.02,0.13,0.14
620143,1611,0.03,0.02,0.09,0.14,0.07,0.08
620144,1611,0.09,0.02,0.07,0.16,0.1,0.11
620145,1611,0.05,0.02,0.08,0.05,0.06,0.06
620146,1611,4.44,1.8,4.52,3.0,4.76,3.51
620147,1611,0.02,0.02,0.04,0.02,0.04,0.06
620148,1611,0.07,0.02,0.04,0.02,0.05,0.08
620149,1611,0.28,0.02,0.34,0.27,0.36,0.28
620150,1611,0.09,0.02,0.18,0.05,0.19,0.15
620151,1611,0.08,0.02,0.06,0.06,0.06,0.05
620152,1611,0.5,0.1,0.43,0.25,0.49,0.46
620153,1611,0.23,0.02,0.19,0.16,0.16,0.18
620154,1611,0.75,0.5,0.77,0.75,0.92,1.09
620155,1611,0.09,0.02,0.07,0.16,0.07,0.11
620156,1611,0.12,0.02,0.1,0.22,0.09,0.08
620157,1611,0.04,0.02,0.05,0.05,0.05,0.18
620158,1611,0.1,0.02,0.24,0.15,0.18,0.17
620159,1611,0.11,0.02,0.08,0.12,0.1,0.07
620160,1611,0.14,0.02,0.12,0.17,0.12,0.09
620161,1611,0.06,0.02,0.08,0.14,0.07,0.08
620162,1611,0.27,0.02,0.2,0.2,0.2,0.18
620163,1611,0.11,0.02,0.16,0.13,0.14,0.14
620164,1611,0.05,0.02,0.07,0.14,0.04,0.05
620165,1611,0.11,0.02,0.11,0.09,0.1,0.13
620166,1611,0.04,0.02,0.06,0.14,0.08,0.08
620167,1611,0.36,0.02,0.37,0.05,0.28,0.25
620168,1611,1.93,0.12,1.42,2.45,1.35,1.46
620169,1611,16.49,9.99,14.54,17.99,14.02,12.03
620170,1611,0.85,0.25,0.78,0.3,0.8,0.57
620171,1611,7.0,7.0,7.53,7.99,8.94,9.03
620172,1611,2.32,0.88,1.86,0.97,1.58,2.07
620173,1611,9.99,6.5,9.13,11.99,7.98,7.57
620174,1611,0.96,0.7,1.14,1.0,1.36,1.02
620175,1611,0.12,0.02,0.13,0.14,0.12,0.13
620176,1611,1.35,0.5,1.19,1.85,1.24,1.11
620177,1611,0.09,0.02,0.14,0.39,0.1,0.13
620178,1611,1.35,0.75,1.27,1.99,1.21,1.29
620179,1611,0.19,0.02,0.17,0.09,0.18,0.15
620180,1611,1.82,0.7,1.69,1.82,2.0,1.95
620181,1611,0.98,0.2,0.98,0.29,1.15,1.34
620182,1611,0.97,0.05,0.78,0.4,0.86,0.83
620183,1611,2.51,2.1,2.54,2.51,2.49,2.93
620184,1611,1.5,0.1,0.13,0.9,1.18,2.38
620185,1611,5.18,2.5,2.72,4.36,4.01,6.64
620186,1611,0.1,0.02,0.08,0.12,0.09,0.09
620187,1611,0.07,0.02,0.07,0.05,0.07,0.09
620188,1611,0.07,0.02,0.05,0.1,0.07,0.05
620189,1611,0.06,0.02,0.06,0.11,0.05,0.08
620190,1611,0.1,0.02,0.12,0.16,0.13,0.07
620191,1611,0.11,0.02,0.08,0.02,0.07,0.07
620192,1611,0.06,0.02,0.03,0.14,0.05,0.09
620193,1611,0.08,0.02,0.1,0.14,0.11,0.14
620194,1611,0.09,0.02,0.09,0.02,0.06,0.08
620195,1611,0.11,0.02,0.08,0.1,0.09,0.07
620196,1611,0.03,0.02,0.05,0.02,0.03,0.05
620197,1611,0.19,0.02,0.1,0.09,0.14,0.22
620198,1611,2.27,1.99,2.1,2.7,1.96,2.36
620199,1611,13.25,12.99,15.04,12.99,17.5,15.05
620200,1611,0.94,0.02,0.8,1.5,1.03,0.72
620201,1611,3.83,2.0,3.61,3.0,3.68,3.51
620202,1611,0.51,0.35,0.5,0.5,0.57,0.67
620203,1611,4.0,3.5,5.32,4.3,5.33,4.75
620204,1611,0.03,0.02,0.24,0.03,0.14,0.13
620205,1611,0.07,0.02,0.08,0.02,0.07,0.11
620206,1611,0.62,0.02,0.43,1.0,0.49,0.33
620207,1611,0.19,0.02,0.09,0.19,0.11,0.1
620208,1611,0.17,0.02,0.17,0.25,0.1,0.17
620209,1611,0.06,0.02,0.09,0.14,0.08,0.06
620210,1611,1.95,1.5,1.77,1.98,1.99,2.04
620211,1611,15.95,13.0,16.44,14.99,15.59,18.33
620212,1611,0.05,0.02,0.09,0.12,0.07,0.09
620213,1611,0.12,0.02,0.12,0.02,0.13,0.15
620214,1611,0.25,0.02,0.23,0.3,0.29,0.22
620215,1611,0.05,0.02,0.09,0.02,0.11,0.11
620216,1611,0.05,0.02,0.06,0.05,0.06,0.05
620217,1611,0.06,0.02,0.1,0.02,0.04,0.09
620218,1611,0.02,0.02,0.05,0.02,0.04,0.07
620219,1611,0.04,0.02,0.12,0.13,0.12,0.11
620220,1611,0.05,0.02,0.13,0.03,0.13,0.1
620221,1611,0.08,0.02,0.13,0.05,0.07,0.12
620222,1611,0.09,0.02,0.14,0.04,0.08,0.17
620223,1611,0.05,0.02,0.09,0.04,0.06,0.09
620224,1611,0.03,0.02,0.19,0.04,0.54,0.41
620225,1611,0.06,0.02,0.07,0.03,0.06,0.06
620226,1611,0.07,0.02,0.06,0.02,0.05,0.04
620227,1611,0.03,0.02,0.04,0.03,0.04,0.06
620228,1611,0.03,0.02,0.02,0.02,0.04,0.05
620229,1611,0.03,0.02,0.09,0.05,0.11,0.07
620230,1611,0.03,0.02,0.04,0.02,0.04,0.05
620231,1611,0.03,0.02,0.04,0.02,0.04,0.1
620232,1611,0.18,0.02,0.1,0.02,0.17,0.13
620233,1611,0.07,0.02,0.06,0.02,0.07,0.05
620234,1611,0.04,0.02,0.05,0.02,0.05,0.04
620235,1611,0.04,0.02,0.08,0.02,0.06,0.05
620236,1611,0.07,0.02,0.06,0.05,0.08,0.06
620237,1611,0.22,0.02,0.14,0.02,0.14,0.13
620238,1611,0.03,0.02,0.04,0.05,0.03,0.07
620239,1611,0.53,0.02,0.26,0.25,0.53,0.33
620240,1611,0.04,0.02,0.06,0.02,0.05,0.05
620241,1611,0.24,0.02,0.13,0.05,0.27,0.12
620242,1611,0.39,0.03,0.38,0.34,0.3,0.32
620243,1611,3.49,2.0,4.1,3.5,3.53,4.13
620244,1611,0.06,0.02,0.09,0.03,0.17,0.08
620245,1611,0.19,0.02,0.34,0.19,0.32,0.29
620246,1611,0.04,0.02,0.09,0.03,0.06,0.09
620247,1611,0.05,0.02,0.03,0.05,0.05,0.09
620248,1611,0.1,0.02,0.11,0.08,0.1,0.12
620249,1611,0.22,0.02,0.2,0.25,0.12,0.26
620250,1611,0.23,0.02,0.2,0.05,0.23,0.18
620251,1611,0.5,0.02,0.42,0.95,0.42,0.49
620252,1611,9.74,6.0,9.28,9.98,8.83,8.54
620253,1611,0.04,0.02,0.12,0.04,0.1,0.13
620254,1611,0.07,0.02,0.08,0.03,0.07,0.12
620255,1611,0.04,0.02,0.14,0.03,0.12,0.15
620256,1611,0.08,0.02,0.12,0.02,0.09,0.11
620257,1611,0.43,0.34,0.85,0.35,0.77,0.78
620258,1611,0.03,0.02,0.04,0.03,0.04,0.05
620259,1611,0.03,0.02,0.06,0.03,0.06,0.06
620260,1611,0.02,0.02,0.02,0.02,0.03,0.06
620261,1611,0.04,0.02,0.04,0.03,0.04,0.07
620262,1611,0.1,0.02,0.12,0.04,0.19,0.14
620263,1611,0.04,0.02,0.11,0.11,0.11,0.13
620264,1611,0.03,0.02,0.02,0.02,0.03,0.08
620265,1611,0.06,0.02,0.05,0.03,0.06,0.04
620266,1611,3.61,2.9,3.8,4.0,3.68,3.54
620267,1611,17.99,9.99,16.24,15.99,15.71,14.68
620269,1611,0.04,0.02,0.04,0.05,0.04,0.06
620270,1611,0.31,0.02,0.21,0.15,0.23,0.23
620271,1611,0.07,0.02,0.05,0.08,0.07,0.15
620272,1611,0.05,0.02,0.09,0.02,0.07,0.1
620273,1611,0.04,0.02,0.05,0.05,0.04,0.06
620274,1611,0.18,0.02,0.47,0.1,0.15,0.48
620275,1611,0.03,0.02,0.03,0.05,0.03,0.04
620276,1611,0.14,0.02,0.11,0.04,0.14,0.21
620277,1611,0.05,0.02,0.05,0.02,0.04,0.06
620278,1611,0.02,0.02,0.04,0.02,0.03,0.05
620279,1611,0.05,0.02,0.05,0.04,0.04,0.05
620280,1611,0.49,0.2,0.69,0.5,0.56,0.72
620281,1611,0.03,0.02,0.06,0.02,0.07,0.06
620282,1611,0.09,0.02,0.06,0.05,0.04,0.04
620283,1611,0.05,0.02,0.07,0.05,0.05,0.08
620284,1611,0.11,0.02,0.15,0.05,0.11,0.14
620285,1611,0.11,0.02,0.09,0.19,0.07,0.11
620286,1611,0.05,0.02,0.04,0.04,0.05,0.06
620287,1611,0.19,0.09,0.29,0.15,0.21,0.28
620288,1611,1.49,1.45,1.8,1.5,2.02,2.43
620289,1611,7.59,5.0,6.82,5.99,6.66,8.79
620290,1611,0.06,0.02,0.05,0.02,0.04,0.05
620291,1611,0.74,0.02,0.77,0.8,0.71,0.56
620292,1611,0.04,0.02,0.04,0.02,0.04,0.04
620293,1611,0.04,0.02,0.07,0.05,0.04,0.06
620294,1611,0.04,0.02,0.04,0.02,0.05,0.06
620295,1611,0.44,0.05,0.32,0.11,0.3,0.39
620296,1611,0.43,0.02,0.38,0.44,0.28,0.22
620297,1611,0.03,0.02,0.04,0.05,0.03,0.05
620298,1611,0.16,0.02,0.21,0.69,0.21,0.15
620299,1611,0.05,0.02,0.07,0.02,0.04,0.05
620300,1611,0.08,0.02,0.08,0.04,0.06,0.08
620301,1611,0.5,0.02,0.32,0.2,0.43,0.31
620302,1611,2.43,1.9,2.59,3.0,2.88,3.05
620303,1611,0.05,0.02,0.06,0.02,0.03,0.05
620304,1611,0.05,0.02,0.13,0.1,0.11,0.17
620305,1611,0.05,0.02,0.09,0.04,0.06,0.11
620306,1611,0.04,0.02,0.06,0.05,0.05,0.05
620307,1611,0.03,0.02,0.06,0.03,0.03,0.08
620308,1611,0.27,0.15,0.42,0.49,0.41,0.42
620309,1611,0.02,0.02,0.02,0.02,0.04,0.07
620310,1611,0.04,0.02,0.05,0.04,0.04,0.04
620311,1611,0.21,0.02,0.22,0.4,0.26,0.28
620312,1611,0.07,0.02,0.13,0.09,0.17,0.15
620313,1611,0.1,0.02,0.12,0.05,0.11,0.12
620314,1611,0.07,0.02,0.06,0.03,0.06,0.06
620315,1611,0.05,0.02,0.04,0.02,0.05,0.05
620316,1611,0.03,0.02,0.03,0.02,0.03,0.03
620317,1611,0.35,0.02,0.26,0.31,0.28,0.26
620318,1611,0.18,0.02,0.25,0.31,0.22,0.31
620319,1611,0.07,0.02,0.07,0.02,0.09,0.08
620320,1611,0.03,0.02,0.03,0.02,0.03,0.05
620321,1611,0.35,0.1,0.52,0.98,0.44,0.48
620322,1611,1.39,0.1,0.52,0.19,0.76,0.77
620323,1611,0.04,0.02,0.07,0.02,0.06,0.05
620324,1611,0.03,0.02,0.04,0.02,0.03,0.04
620325,1611,0.02,0.02,0.04,0.02,0.05,0.04
620326,1611,0.04,0.02,0.14,0.02,0.11,0.16
620327,1611,0.11,0.02,0.09,0.11,0.14,0.2
620328,1611,0.15,0.02,0.08,0.15,0.18,0.21
620329,1611,2.54,1.5,2.45,2.23,2.45,2.49
620330,1611,0.1,0.02,0.08,0.05,0.13,0.14
620331,1611,0.05,0.02,0.06,0.03,0.06,0.07
620332,1611,0.3,0.02,0.12,0.35,0.38,0.37
620333,1611,0.06,0.02,0.04,0.19,0.05,0.04
620334,1611,0.92,0.09,1.1,1.7,0.93,0.99
620335,1611,0.03,0.02,0.04,0.02,0.04,0.09
620336,1611,0.21,0.02,0.08,0.02,0.14,0.09
620337,1611,0.04,0.02,0.05,0.04,0.04,0.05
620338,1611,0.98,0.1,0.67,0.98,0.66,0.69
620339,1611,0.03,0.02,0.03,0.02,0.08,0.07
620340,1611,0.03,0.02,0.05,0.02,0.07,0.11
620341,1611,0.02,0.02,0.03,0.02,0.04,0.04
620342,1611,0.04,0.02,0.05,0.02,0.09,0.09
620343,1611,1.04,0.09,1.04,1.5,1.15,0.99
620344,1611,0.05,0.02,0.07,0.05,0.1,0.11
620345,1611,0.06,0.02,0.06,0.1,0.08,0.12
620346,1611,0.27,0.02,0.18,0.35,0.17,0.28
620347,1611,7.98,1.45,2.75,2.0,3.14,2.53
620348,1611,0.43,0.02,0.68,0.25,0.41,0.32
620349,1611,3.0,3.0,3.9,3.68,3.62,3.5
620350,1611,0.04,0.02,0.07,0.03,0.06,0.05
620351,1611,0.99,0.94,1.12,1.0,0.99,1.46
620352,1611,0.17,0.02,0.06,0.02,0.13,0.07
620353,1611,0.03,0.02,0.04,0.02,0.03,0.07
620354,1611,0.03,0.02,0.05,0.05,0.05,0.06
620355,1611,0.73,0.19,0.78,1.0,0.78,0.73
620356,1611,0.04,0.02,0.04,0.03,0.05,0.05
620357,1611,0.04,0.02,0.05,0.02,0.05,0.05
620358,1611,0.06,0.02,0.04,0.02,0.05,0.06
620359,1611,0.05,0.02,0.06,0.02,0.05,0.08
620360,1611,1.85,0.15,1.54,1.2,1.61,1.1
620361,1611,0.99,0.49,1.37,4.29,1.88,1.41
620362,1611,6.47,3.9,5.51,3.89,6.72,7.18
620363,1611,3.46,0.2,3.05,3.75,2.7,3.2
620364,1611,4.32,3.9,4.29,4.0,4.6,4.64
620365,1611,0.11,0.02,0.2,0.1,0.19,0.28
620366,1611,0.04,0.02,0.1,0.32,0.11,0.16
620367,1611,1.54,0.45,1.89,2.2,1.92,1.28
620368,1611,0.04,0.02,0.24,0.04,0.05,0.27
620369,1611,0.02,0.02,0.04,0.02,0.04,0.05
620370,1611,0.02,0.02,0.06,0.02,0.12,0.1
620371,1611,0.09,0.02,0.08,0.16,0.07,0.05
620372,1611,0.03,0.02,0.11,0.03,0.13,0.09
620373,1611,0.02,0.02,0.09,0.02,0.11,0.09
620374,1611,0.1,0.02,0.16,0.35,0.16,0.3
620375,1611,0.03,0.02,0.04,0.05,0.03,0.05
620376,1611,0.81,0.02,0.56,0.1,0.58,0.54
620377,1611,0.04,0.02,0.07,0.03,0.04,0.08
620378,1611,0.04,0.02,0.06,0.05,0.07,0.1
620379,1611,0.05,0.02,0.02,0.02,0.02,0.06
620380,1611,3.51,1.5,2.86,2.0,2.96,2.52
620381,1611,7.73,3.5,6.12,2.5,6.12,5.02
620382,1611,5.5,3.99,5.74,3.99,5.38,5.92
620383,1611,5.83,4.5,6.9,5.0,5.53,5.83
620384,1611,0.02,0.02,0.02,0.02,0.04,0.07
620385,1611,0.25,0.02,0.13,0.05,0.17,0.09
620386,1611,0.04,0.02,0.04,0.05,0.05,0.04
620387,1611,0.03,0.02,0.03,0.05,0.03,0.04
620388,1611,0.02,0.02,0.04,0.02,0.04,0.07
620389,1611,0.19,0.02,0.02,0.19,0.06,0.06
620390,1611,0.02,0.02,0.04,0.02,0.02,0.03
620391,1611,0.04,0.02,0.03,0.05,0.04,0.03
620392,1611,0.2,0.02,0.05,0.2,0.07,0.11
620393,1611,0.04,0.02,0.03,0.03,0.03,0.03
620394,1611,0.02,0.02,0.07,0.02,0.05,0.05
620395,1611,2.0,1.0,2.08,2.0,2.12,2.47
620396,1611,0.04,0.02,0.04,0.05,0.04,0.04
620397,1611,0.02,0.02,0.03,0.02,0.05,0.05
620398,1611,0.05,0.02,0.02,0.05,0.02,0.03
620399,1611,0.13,0.02,0.09,0.05,0.1,0.05
620400,1611,0.27,0.02,0.39,0.44,0.27,0.36
620401,1611,0.22,0.02,0.33,0.21,0.22,0.29
620402,1611,1.97,1.75,2.76,2.0,2.97,2.65
620403,1611,0.03,0.02,0.03,0.02,0.03,0.03
620404,1611,0.08,0.02,0.1,0.04,0.12,0.06
620405,1611,1.96,0.99,2.4,2.0,2.61,2.09
620406,1611,0.07,0.02,0.06,0.05,0.06,0.07
620407,1611,0.05,0.02,0.02,0.05,0.03,0.05
620408,1611,0.02,0.02,0.03,0.02,0.03,0.03
620409,1611,0.2,0.02,0.09,0.25,0.15,0.09
620410,1611,0.03,0.02,0.02,0.02,0.03,0.03
620411,1611,0.02,0.02,0.04,0.02,0.04,0.08
620412,1611,3.5,3.0,3.79,4.0,3.79,3.73
620413,1611,0.04,0.02,0.02,0.05,0.03,0.04
620414,1611,0.11,0.02,0.07,0.15,0.1,0.07
620415,1611,0.04,0.02,0.03,0.02,0.03,0.03
620416,1611,0.03,0.02,0.02,0.02,0.02,0.03
620417,1611,0.17,0.02,0.22,0.19,0.17,0.17
620418,1611,0.02,0.02,0.06,0.02,0.04,0.04
620419,1611,0.07,0.02,0.08,0.15,0.12,0.08
620420,1611,0.14,0.02,0.1,0.05,0.11,0.06
620421,1611,1.0,0.97,1.11,1.0,1.25,1.44
620422,1611,0.03,0.02,0.03,0.02,0.02,0.03
620423,1611,0.12,0.02,0.25,0.1,0.17,0.15
620424,1611,2.0,1.5,2.07,1.5,2.04,2.48
620425,1611,0.03,0.02,0.03,0.03,0.02,0.03
620426,1611,0.06,0.02,0.04,0.02,0.04,0.04
620427,1611,0.08,0.02,0.08,0.1,0.08,0.07
620428,1611,0.03,0.02,0.04,0.02,0.04,0.03
620429,1611,0.02,0.02,0.03,0.02,0.03,0.03
620430,1611,0.04,0.02,0.03,0.06,0.03,0.03
620431,1611,0.02,0.02,0.02,0.02,0.02,0.04
620432,1611,0.02,0.02,0.03,0.02,0.04,0.03
620433,1611,0.04,0.02,0.04,0.05,0.03,0.04
620434,1611,0.06,0.02,0.05,0.02,0.03,0.04
620435,1611,0.08,0.02,0.11,0.1,0.07,0.08
620436,1611,0.09,0.02,0.08,0.02,0.12,0.07
620437,1611,0.17,0.02,0.11,0.25,0.17,0.2
620438,1611,5.17,3.5,5.91,3.99,4.88,5.66
620439,1611,0.1,0.02,0.04,0.02,0.03,0.05
620440,1611,0.02,0.02,0.03,0.02,0.03,0.03
620441,1611,0.21,0.02,0.07,0.02,0.09,0.05
620442,1611,0.21,0.02,0.08,0.05,0.14,0.12
620443,1611,0.03,0.02,0.02,0.05,0.02,0.03
620444,1611,0.21,0.02,0.1,0.3,0.07,0.07
620445,1611,0.02,0.02,0.02,0.02,0.02,0.03
620446,1611,0.04,0.02,0.02,0.02,0.03,0.05
620447,1611,0.02,0.02,0.03,0.02,0.03,0.04
620448,1611,0.2,0.02,0.1,0.02,0.16,0.1
620449,1611,0.17,0.02,0.24,0.16,0.17,0.25
620450,1611,1.2,1.0,1.9,3.9,2.18,1.71
620451,1611,0.2,0.02,0.08,0.02,0.06,0.05
620452,1611,0.08,0.02,0.09,0.1,0.08,0.07
620453,1611,0.11,0.02,0.16,0.12,0.15,0.13
620454,1611,1.9,1.9,2.01,2.0,2.07,2.82
620455,1611,0.8,0.05,0.43,0.99,0.78,0.81
620456,1611,0.05,0.02,0.08,0.05,0.07,0.07
620457,1611,0.03,0.02,0.03,0.05,0.03,0.03
620458,1611,0.02,0.02,0.04,0.02,0.03,0.05
620459,1611,0.1,0.02,0.03,0.06,0.04,0.09
620460,1611,0.05,0.02,0.03,0.05,0.03,0.04
620461,1611,0.02,0.02,0.03,0.02,0.02,0.03
620462,1611,0.05,0.02,0.03,0.05,0.02,0.04
620463,1611,0.05,0.02,0.03,0.05,0.03,0.06
620464,1611,1.77,1.6,2.68,2.0,2.86,4.33
620465,1611,0.08,0.02,0.03,0.02,0.03,0.05
620466,1611,0.1,0.02,0.14,0.09,0.15,0.13
